WD_Name,WD_Main_ID,WD_SpType,WD_RV,WD_RV_Err,WD_RV_Qual,WD_PMRA,WD_PMDEC,WD_Plx,Comp_Name,Comp_SpType,Comp_RV,Comp_RV_Err,Comp_RV_Qual,Comp_PMRA,Comp_PMDEC,Comp_Plx,Separation_arcsec,PM_Diff_mas_yr,Plx_Diff_mas
WD 0150+089,EGGR  14,DZ:,31.3,6.6,D,88.212,-157.857,12.745,G  71-B5A,,7.31,1.89,B,85.842,-159.342,12.7656,10.29,2.8,0.02
WD 0738-172,LAWD 25,DZQA6,-10,13.4,E,1138.69,-542.556,109.344,LP  783-2,M6.5Ve,-34.329,,D,1152.243,-536.412,109.2545,20.54,14.88,0.09
WD 0906+727,LP   36-141,DZ,,,,-64.044,-89.515,5.4142,LSPM J0911+7232,,,,,-64.508,-89.214,5.5972,10.99,0.55,0.18
WD 1012+083.2,LP  549-32,DC,,,,-294.044,157.841,33.9164,G  43-38,DA7.5,81,3,C,-288.165,163.827,33.9122,27.59,8.39,0.0
WD 1133+619,LP   94-65,DZ,,,,-123.497,-31.951,7.5266,LP   94-66,K2V,-21.38,0.38,A,-120.043,-30.122,7.2885,17.58,3.91,0.24
WD 1204-313,Ruiz 440-55A,DZ7,,,,-224.286,-1.298,9.5919,Ruiz 440-55B,M5V,,,,-222.708,-1.277,9.7075,5.63,1.58,0.12
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,Gaia DR3 1466229889859427968,,,,,-1.64,-3.08,0.2229,344.68,11.89,1.56
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,PB  3280,,,,,0.849,-5.23,0.0435,113.48,9.11,1.74
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,Gaia DR3 1466210334871163008,,,,,-0.962,-0.411,0.8642,384.55,14.22,0.92
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,GALEX J130404.4+310046,,,,,-0.255,-0.028,,350.58,14.43,
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,GALEX J130501.9+305516,,,,,0.028,-0.068,0.14,462.34,14.34,1.64
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,[S78c] SA 57  14,,,,,0.182,-7.571,0.1099,334.4,7.04,1.67
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,FIRST J130431.7+305155,,,,,-2.531,-2.444,,420.08,12.82,
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,LP  322-500 A,DA,,,,-1.235,-15.308,,12.64,4.08,
WD 1302+312.2,LP  322-500 B,DZ:,,,,2.676,-14.158,1.7844,Gaia DR3 1466208445085540096,,,,,-0.868,-2.519,1.2284,454.13,12.17,0.56
