Country,University Name,Priority,Status
USA,MIT (Massachusetts Institute of Technology),Tier 1,Pending
USA,Caltech (California Institute of Technology),Tier 1,Pending
USA,Princeton University,Tier 1,Pending
USA,Harvard University,Tier 1,Pending
USA,Stanford University,Tier 1,Pending
USA,University of California Berkeley,Tier 1,Pending
UK,University of Cambridge,Tier 1,Pending
UK,University of Oxford,Tier 1,Pending
UK,Imperial College London,Tier 1,Pending
Germany,Max Planck Institutes (Various),Tier 1,Pending
Germany,LMU Munich,Tier 1,Pending
Germany,Heidelberg University,Tier 1,Pending
Switzerland,ETH Zurich,Tier 1,Pending
Switzerland,CERN (Theory Division),Tier 1,Pending
Russia,Lomonosov Moscow State University,Tier 1,Pending
Russia,Saint Petersburg State University,Tier 2,Pending
Russia,Novosibirsk State University,Tier 2,Pending
India,IIT Bombay,Tier 1,Pending
India,IIT Delhi,Tier 1,Pending
India,IISc Bangalore,Tier 1,Pending
Brazil,University of São Paulo (USP),Tier 1,Pending
Brazil,UNICAMP,Tier 2,Pending
France,École Normale Supérieure (ENS),Tier 1,Pending
France,Sorbonne University,Tier 1,Pending
Italy,Sapienza University of Rome,Tier 1,Pending
Italy,University of Bologna,Tier 2,Pending
Bulgaria,Sofia University (PhysFac),Tier 1,In Progress
Bulgaria,Plovdiv University (Paisii Hilendarski),Tier 2,Pending
Bulgaria,Technical University of Sofia,Tier 2,Pending
Poland,Jagiellonian University,Tier 1,Pending
Poland,University of Warsaw,Tier 1,Pending
Japan,University of Tokyo,Tier 1,Pending
Japan,Kyoto University,Tier 1,Pending
China,Tsinghua University,Tier 1,Pending
China,Peking University,Tier 1,Pending
Australia,Australian National University,Tier 1,Pending
Canada,University of Toronto,Tier 1,Pending
Canada,Perimeter Institute for Theoretical Physics,Tier 1,Pending
